text;classification
"In file included from ../src/kvstore/kvstore.cc:28:
../src/kvstore/./kvstore_local.h:281:23: warning: lambda capture 'this' is not used [-Wunused-lambda-capture]
    auto validator = [this](const int key, const NDArray& nd, bool ignore_sparse) -> bool {
                      ^
../src/kvstore/./kvstore_local.h:326:23: warning: lambda capture 'this' is not used [-Wunused-lambda-capture]
    auto validator = [this](const int key, const RSPVal& val_rowid, bool ignore_sparse) -> bool {
                      ^
In file included from ../src/c_api/c_api_profile.cc:35:
../src/c_api/../profiler/./profiler.h:1160:8: warning: 'mxnet::profiler::ProfileOperator::start' hides overloaded virtual function [-Woverloaded-virtual]
  void start(mxnet::Context::DeviceType dev_type, uint32_t dev_id) {
       ^
../src/c_api/../profiler/./profiler.h:870:8: note: hidden overloaded virtual function 'mxnet::profiler::ProfileEvent::start' declared here: different number of parameters (0 vs 2)
  void start() override {
       ^
../src/c_api/../profiler/./profiler.h:1212:8: warning: lambda capture 'this' is not used [-Wunused-lambda-capture]
      [this](OprExecStat *stat) {}, name_.c_str(), dev_type_, dev_id_,
       ^
See also #14940";non_debt
"@dongjoon-hyun, the problem that you pointed out was that the schema shouldn't require a reader. 
That's what I'm saying here, too: the table should have a schema and it shouldn't need to implement the read path to validate a write using the table schema.";non_debt
"GroupBy v2 doesn't cache on the broker, so it isn't actually testing
what the test was supposed to be testing. Also, the test failed due
to mismatched expectations.";non_debt
Use the Python Postinstall implementation by default;non_debt
"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/8052/<h2>Failed Tests: <span class='status-failure'>1</span></h2><h3><a name='beam_PreCommit_Java_MavenInstall/org.apache.beam:beam-runners-spark' /><a href='https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/8052/org.apache.beam$beam-runners-spark/testReport'>beam_PreCommit_Java_MavenInstall/org.apache.beam:beam-runners-spark</a>: <span class='status-failure'>1</span></h3><ul><li><a href='https://builds.apache.org/job/beam_PreCommit_Java_MavenInstall/8052/org.apache.beam$beam-runners-spark/testReport/org.apache.beam.runners.spark.translation.streaming/ResumeFromCheckpointStreamingTest/testWithResume/'><strong>org.apache.beam.runners.spark.translation.streaming.ResumeFromCheckpointStreamingTest.testWithResume</strong></a></li></ul>
--none--";non_debt
"@ijuma i checked the cases where this test has failed and it seems to always be on the verification of the left join. I've ran this test plenty of times and i can't get it to fail. However in the interest of having stable builds, i've removed just the part of the test that is failing (which happens to be the last verification).
Thanks,
Damian";non_debt
.. except of course that when suspending a machine `JcloudsLocation` does not call the pre- and post-release methods of any attached `JcloudsLocationCustomizers`. I think this is fair given that the machine may be resumed.;non_debt
retest this please;non_debt
What is this for? Is `docs/_config_local.yml` used anywhere?;non_debt
Same about the log level.;non_debt
Fixed;non_debt
"# [Codecov](https://codecov.io/gh/apache/incubator-dolphinscheduler/pull/4250?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/incubator-dolphinscheduler/pull/4250?src=pr&el=continue).";non_debt
There's definitely a more panda-esque way to do all this, but it's not shocking as is.;non_debt
Fixed;non_debt
issue is  https://github.com/apache/rocketmq/issues/375;non_debt
"This PR allows reporters to define their default delimiter. Previously we always defaulted to `.`.
Reporters may now implement the `DelimiterProvider` interface with which they may define a delimiter. This delimiter is used if no delimiter was explicitly configured for the reporter.
* Add DelimiterProvider interface
* modify Prometheus&JmxReporter to define the default delimiter
* modify delimiter setup in the MetricRegistry
* add a test to the MetricRegistryTest to verify functionality
This change added tests and can be verified as follows:
Run MetricRegistryTest#testDelimiterOverride.";non_debt
Any other comment? @cloud-fan Thanks!;non_debt
"This doesn't pass the system tests on my machine, hanging very early (with nginx-1.4.4):
With curl:
Requesting with `PageSpeed=off` on the querystring seems to works OK.
Requesting another url, `curl --raw -vv http://localhost:8050/mod_pagespeed_example/`
shows something else which looks concerning:
@jeffkaufman Can you reproduce this (perhaps with nginx-1.4.4)?";non_debt
Done.;non_debt
â€¦ow for updated data row;non_debt
"hi, i am using the dependency is
`
`
,which had been solved the bug?
Look forward to your favourable reply.";non_debt
Merge pull request #2 from apache/master;non_debt
/pulsarbot run-failure-checks;non_debt
"example ? Instead of exmaple ?
Message should say build with example external runtime and not relay vm profiler support .";non_debt
"@JoshRosen @MLnick the batch size here only affects transient data when writing and the re-serialization shouldn't be done if the data is already in pickle format (batch serialized or not). I'm uploading a patch to that effect. Since the batch size has no effect on the data persisted in files, I'm not exposing it to users. See you have any further comments and if you have a better suggestion for the default size 10, let me know.
@mateiz what you suggested is exposing the batch size for reading. I'll work on that next.";non_debt
NIFI-4516 FetchSolr Processor;non_debt
Agree with @ephraimbuddy , you are missing `.filter(DagRun.dag_id == dag_id)` that Ephraim suggested;non_debt
Thank you for the review. I'll try to address them tomorrow!;non_debt
done;non_debt
":broken_heart: **-1 overall**
This message was automatically generated.";non_debt
Fixed.  Re-ran tests.  Thanks.;non_debt
17165658-31052 review-553663753;non_debt
Why was this removed?;non_debt
revert this plesae;non_debt
Equivalent `for` loop takes fewer lines.;non_debt
cc @wuchong;non_debt
"@graceguo-supercat noticed `black==19.10b0` and `black==19.3b0` is treating function trailing commas differently. This [upgrades black to `19.10b0`](https://github.com/psf/black/compare/19.3b0...19.10b0) to bring in the fix (https://github.com/psf/black/pull/763).
Mypy is also updated because it's a dependency of black.
N/A
CI Successful build.
N/A
@graceguo-supercat @john-bodley";non_debt
cc/ @vanzin @ueshin @jiangxb1987 @erikerlandson @liyinan926;non_debt
fixed.;non_debt
36057260-1000 summary-0;non_debt
STORM-3632 reduce SimpleSaslServerCallbackHandler logging;non_debt
Merged build started.;non_debt
"  [Test build #31992 has finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/31992/consoleFull) for   PR 5867 at commit [`490d778`](https://github.com/apache/spark/commit/490d778b16934984acc577d19787268958ce5fd2).
- This patch **fails Spark unit tests**.
- This patch **does not merge cleanly**.
- This patch adds no public classes.";non_debt
"Hahaha, the bike shedder arrives!
I'm not sure. Is it worth the set up for a single file?
In any case, I don't like the "".a"" approach. If you want a change, I would create a header file, make the `Overridable_Map` not static, and grab the file via ""Makefile.inc"" reaching over to ""../shared/txn-vars.cc"".
What would the directory structure be?
-shared
--src
---txn_vars.cc
--include
---txn_vars.h
or
-shared
--txn_vars.cc
--include
---txn_vars.h";non_debt
ping @HyukjinKwon, @gatorsmile;non_debt
+1.;non_debt
Run Java PreCommit;non_debt
[SPARK-22665][SQL] Avoid repartitioning with empty list of expressions;non_debt
"Congratulations on your first Pull Request and welcome to the Apache Airflow community! If you have any issues or are unsure about any anything please check our Contribution Guide (https://github.com/apache/airflow/blob/master/CONTRIBUTING.rst)
Here are some useful points:
- Pay attention to the quality of your code (flake8, pylint and type annotations). Our [pre-commits]( https://github.com/apache/airflow/blob/master/STATIC_CODE_CHECKS.rst#prerequisites-for-pre-commit-hooks) will help you with that.
- In case of a new feature add useful documentation (in docstrings or in `docs/` directory). Adding a new operator? Check this short [guide](https://github.com/apache/airflow/blob/master/docs/howto/custom-operator.rst) Consider adding an example DAG that shows how users should use it.
- Consider using [Breeze environment](https://github.com/apache/airflow/blob/master/BREEZE.rst) for testing locally, itâ€™s a heavy docker but it ships with a working Airflow and a lot of integrations.
- Be patient and persistent. It might take some time to get a review or get the final approval from Committers.
- Be sure to read the [Airflow Coding style]( https://github.com/apache/airflow/blob/master/CONTRIBUTING.rst#coding-style-and-best-practices).
Apache Airflow is a community-driven project and together we are making it better ðŸš€.
Mailing List: dev@airflow.apache.org
Slack: https://apache-airflow-slack.herokuapp.com/";non_debt
"Test FAILed.
Refer to this link for build results (access rights to CI server needed): 
https://amplab.cs.berkeley.edu/jenkins//job/SparkPullRequestBuilder/24334/
Test FAILed.";non_debt
Why not do the conversion while inserting?;non_debt
the `* 1000` should be inside the bracket.;non_debt
":broken_heart: **-1 overall**
This message was automatically generated.";non_debt
How is it done on the client side?;non_debt
@jiangxb1987 feel free to take a look at it. More eyes, more possibilities.;non_debt
"@vik5jagan yup. but this pull request seems to try to merge branch 4.0 to master. is that intended? There is a link describing how to contribute to BookKeeper : https://cwiki.apache.org/confluence/display/BOOKKEEPER/Contributing+to+BookKeeper .
Let me know if you have any questions.";non_debt
"  [QA tests have finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/18681/consoleFull) for   PR 1819 at commit [`41ebc5f`](https://github.com/apache/spark/commit/41ebc5f912093fdf7b21808ce19da1bae514435e).
- This patch **fails** unit tests.
- This patch merges cleanly.
- This patch adds the following public classes _(experimental)_:
  - `abstract class Serializer`
  - `abstract class SerializerInstance`
  - `abstract class SerializationStream`
  - `abstract class DeserializationStream`
  - `class ShuffleBlockManager(blockManager: BlockManager,`
  - `case class OutputFaker(output: Seq[Attribute], child: SparkPlan) extends SparkPlan`
  - `implicit class LogicalPlanHacks(s: SchemaRDD)`
  - `implicit class PhysicalPlanHacks(originalPlan: SparkPlan)`
  - `class FakeParquetSerDe extends SerDe`";non_debt
"True, time unit won't be set as well.
The new code doesn't have the requirement of setting start/end before time unit.";non_debt
"# [Codecov](https://codecov.io/gh/apache/beam/pull/13905?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/beam/pull/13905?src=pr&el=continue).";non_debt
I agree that it should be configurable, but I don't think using a Builder pattern precludes this.  I'm about to push changes that adds support for using system properties, that's a good idea.;non_debt
R:@kennknowles;non_debt
@zentol the result need be sorted, otherwise the test would report error, because the result is not ordered, print this :;non_debt
updated copyright in heron/cli;non_debt
"1- Rebased and ran the tests again and updated the test results.
2- Done.";non_debt
Compat for opencl mode between cpu mode and gpu mode;non_debt
Hoping to remove this try/catch if [NIFI-4590](https://issues.apache.org/jira/browse/NIFI-4590) is implemented first.;non_debt
I understand the motivation here, could you show the benefit of this change for a real use case?;non_debt
Better to comment why `-3` needs a special process.;non_debt
change the url in index;non_debt
Fix broken unit tests and run go fmt;non_debt
If the PR isn't ready to be reviewed, why is it open?;non_debt
Sounds good to me.;non_debt
I think this can be no-op, since `RollbackOnly` is always `true`.;non_debt
I've rebased the patch on the current master. If there are no objects, I'd like to merge to master tonight or tomorrow.;non_debt
It does not. My initial implementation required this, then I forgot to change this back;non_debt
" * This patch **fails to generate documentation**.
 * This patch merges cleanly.
 * This patch adds no public classes.";non_debt
STORM-3247 remove BLOBSTORE_SUPERUSER;non_debt
"[CALCITE-4106] Consider ""listCoerced"" in TypeCoercionImpl#inOperationCoercion (Jiatao Tao)";non_debt
"Thanks a lot for your contribution to the Apache Flink project. I'm the @flinkbot. I help the community
to review your pull request. We will use this comment to track the progress of the review.
Last check on commit 7f2e408128e5d7929dd4301362a20d8d90c69597 (Sat Mar 28 14:50:34 UTC 2020)
**Warnings:**
 * No documentation files were touched! Remember to keep the Flink docs up to date!
* â“ 1. The [description] looks good.
* â“ 2. There is [consensus] that the contribution should go into to Flink.
* â“ 3. Needs [attention] from.
* â“ 4. The change fits into the overall [architecture].
* â“ 5. Overall code [quality] is good.
 The Bot is tracking the review progress through labels. Labels are applied according to the order of the review items. For consensus, approval by a Flink committer of PMC member is required <summary>Bot commands</summary>
  The @flinkbot bot supports the following commands:
 - `@flinkbot approve description` to approve one or more aspects (aspects: `description`, `consensus`, `architecture` and `quality`)
 - `@flinkbot approve all` to approve all aspects
 - `@flinkbot approve-until architecture` to approve everything until `architecture`
 - `@flinkbot attention @username1 [@username2 ..]` to require somebody's attention
 - `@flinkbot disapprove architecture` to remove an approval you gave earlier";non_debt
@eolivelli left my comments.;non_debt
" * This patch passes all tests.
 * This patch merges cleanly.
 * This patch adds no public classes.";non_debt
"This PR contains the following updates:
---
-   **ux:** Disabled Execute button while request is in progress ([#&#82036776](https://togithub.com/swagger-api/swagger-ui/issues/6776)) ([2bf39e0](https://togithub.com/swagger-api/swagger-ui/commit/2bf39e0ad526336198490122c7978221487a1e35))
-   **sample-gen:** first oneOf or anyOf should be combined with schema ([#&#82036775](https://togithub.com/swagger-api/swagger-ui/issues/6775)) ([0f541a1](https://togithub.com/swagger-api/swagger-ui/commit/0f541a1ab055ce104da9758ddbf1a77dcd839c70))
-   **style:** response data flows off the screen ([#&#82036764](https://togithub.com/swagger-api/swagger-ui/issues/6764)) ([85a3ec9](https://togithub.com/swagger-api/swagger-ui/commit/85a3ec983e5822f87715d63720e511f8be65f6a9))
-   **examples:** Request Body examples should respect media-type ([#&#82036739](https://togithub.com/swagger-api/swagger-ui/issues/6739))  ([68e9b1b](https://togithub.com/swagger-api/swagger-ui/commit/68e9b1b43995a68d40813146aab174228e7a1257))
---
:date: **Schedule**: At any time (no schedule defined).
:vertical_traffic_light: **Automerge**: Disabled by config. Please merge this manually once you are satisfied.
:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.
---
---
This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/apache/fineract).";non_debt
This documents the implementation of ALS in `spark.ml` with example code in scala, java and python.;non_debt
Pushed small refactors. Will merge once CI passes;non_debt
Hmm maybe such a type converter is not so idea when you require those stuff to be on the exchange property. Sometimes a type converter is not the best thing to add, they should really ideally just be for basic type conversions. Consider removing this if possible.;non_debt
20675636-466 summary-0;non_debt
"Explicit max and min heap size settings removed.
This file (changed in this PR) is the default `.conf` file your application will get when you create an application on top of NetBeans Platform.
See [NETBEANS-149](https://issues.apache.org/jira/browse/NETBEANS-149) for details.";non_debt
GEODE-1744: Probable bugs from == use fixed;non_debt
rebase latest master;non_debt
I would prefer `OZONE_SH_OPTS`.  However, this is an existing variable.  I kept its name to avoid breaking anyone's scripts.;non_debt
OK, Done;non_debt
Use `BDV.vertcat(BDV(Array(gradientLogSigmaSum / totalCnt.toDouble)), BDV(Array(gradientInterceptSum/totalCnt.toDouble)), gradientBetaSum/totalCnt.toDouble)` to combine three parts directly.;non_debt
"  [Test build #23698 has finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/23698/consoleFull) for   PR 3009 at commit [`6f17f3f`](https://github.com/apache/spark/commit/6f17f3f61102f5685d20cf42f79a049a5bbaad06).
- This patch **fails Spark unit tests**.
- This patch merges cleanly.
- This patch adds no public classes.";non_debt
Jenkins, retest this please;non_debt
@msb-at-yahoo - Addressed all your comments;non_debt
[Dubbo-1659] Optimize_hessian_desr_performance;non_debt
LGTM, will test and merge;non_debt
"# [Codecov](https://codecov.io/gh/apache/incubator-airflow/pull/3969?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/incubator-airflow/pull/3969?src=pr&el=continue).";non_debt
@BLasan a thought: instead of using `busybox` and `nc`, why not just re-use `image: mysql:5.7` with `mysqladmin` ?;non_debt
Rename TableSegmentsAvailable to TableAvailable;non_debt
FreeBSD build *successful*! See https://ci.trafficserver.apache.org/job/freebsd-github/1602/ for details.;non_debt
@kou there are a couple of missing artifacts:;non_debt
Ok, that makes sense!;non_debt
/pulsarbot run-failure-checks;non_debt
Thanks @xiaoyuyao for review. I will merge it in.;non_debt
Or we can merge this test case with existing read/write test.;non_debt
"About fine grained configuration:
Yes, users should not need to think about tasks. It should be on operator basis. Thus, we would need to make standby tasks ""smarter"" and only populate some stores (as requested by the user) in the background. Would be a bigger change, but not impossible.
Yes, that is exactly what I had in mind.";non_debt
CAMEL-15896: Upgrade google-cloud-pubsub to 1.109.0;non_debt
"@rdhabalia @saandrews Added 1 commit on top of this PR. Take a look at https://github.com/merlimat/pulsar/commit/08de7c7c47fdb242074b08ddbb81a3fae8b2f72b 
Few things: 
 1. Use proper ref-count sematic for EntryImpl. EntryImpl owns a ref of the buffer (so, while we have an `EntryImpl`, the buffer is alive.
 2. Removed recycling on PositionImpl, this was long due since it's impossible to achieve on the current premises. Use ledgerId/entryId in entryImpl so that is more compact";non_debt
so we will never delete a segment in realtime for 5 days?;non_debt
"It's part of Dataflow VR test. 
I usually change the validatesRunnerV2 target to include just one test case and if you have write access to apache-beam-testing, you can invoke the test locally by ./gradlew :runners:google-cloud-dataflow-java:validatesRunnerV2 directly.";non_debt
adding windowing function CLI option descriptions;non_debt
I think we can just use `spark`.;non_debt
"On second thought, passing in the runtime context wouldnâ€™t work. To let user custom partitioners  be stateful, weâ€™ll essentially need to make FlinkKafkaPartitioner a CheckpointedFunction, and let the FlinkKafkaProducerBase invoke the checkpoint methods.
We should be able to avoid breaking the user API by having empty base implementations for the checkpoint methods on the FlinkKafkaPartitioner.";non_debt
"This isn't actually a defect - it's true that 11 vs 10 is not perfect, but the reason for ceil/floor vs round is that for small number (say 2 invokers):
The point for small N up to the reciprocal of the fraction, both sets overlap.";non_debt
"Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/madlib-pr-build/1057/";non_debt
Do we want Scala 2.12 or 2.13 here?;non_debt
Yes, I will be adding ADTs today, along with tests. Thanks for the reviews;non_debt
This pull request has been marked as stale due to 60 days of inactivity. It will be closed in 4 weeks if no further activity occurs. If you think that's incorrect or this pull request should instead be reviewed, please simply write any comment. Even if closed, you can still revive the PR at any time or discuss it on the dev@druid.apache.org list. Thank you for your contributions.;non_debt
"Yes, that's ok. We'll put a notice about a breaking change to the release notes, so that users having there own indexer plugin know they have to adapt it.
We could try to only extend the IndexWriter interface and provide default do-nothing implementations for newly added methods as most index writers do not write data to the filesystem.";non_debt
[SPARK-19748][SQL]refresh function has a wrong order to do cache invalidate and regenerate the inmemory var for InMemoryFileIndex with FileStatusCache;non_debt
"Per above, it may be worth writing a ""large memory"" test with the `large_memory` pytest mark (which we can run locally, but not in Travis CI) where we have a field that overflows the 2G in a BinaryArray so we can test the rechunking / splitting of the null bitmap. I guess you'll have to pass a mask to get some nulls to make sure the logic is correct";non_debt
[approve ci Clang-Analyzer];non_debt
https://issues.apache.org/jira/browse/ARROW-11259;non_debt
"I've updated the patch. I've improved TajoTestingCluster to take system properties as follows:
If `CODEGEN` is a session variable, it will be applied to QueryContext instance used in all unit tests. So, in order to test the code generation feature, you should give `-DCODEGEN=true` when you execute `mvn install`. It can be used for other session variables too.
For test for real queries, you need to set a session variable CODEGEN  as follows:";non_debt
"Anyone know what's happening with this:
@shaneknapp";non_debt
If we change `inputIter`'s initial value to `null`, we need to also change it to a null check.;non_debt
A friendly ping~;non_debt
70746484-7260 review-556711333;non_debt
"It looks like only a couple tests classes are using this-- should they all?
Note that the transforms and tests we have in the core SDK are likely to get copy-pasted many times over their life, for future SDK transforms and by users. Your implementation here establishes the recipe for how to implement and test display data.";non_debt
Coverage increased (+0.003%) to 70.148% when pulling **bc981235946ce768f0ab469922ded96e5a76d3c0 on mariapython:ppp_final** into **af8f586b60853056a20b08d88f7dca72eac657bc on apache:master**.;non_debt
"right now, it's not supporting wild-card char such as `*` but 
- consumer can subscribe to any subscription if consumer's principal/role is authorized at namespace-level (`consume`) or per-topic (`consume`).
- however, if per-subscription auth is configured for a specific subscription-name then consumer's `principal/role` has to be authorized role as per `per-subscription` to connect to that specific subscription. so, in `pre-fix sub` usecase, user can grant access to set of roles for a specific subscription and only those roles can access the subscription. so, we can avoid sub-name conflict.";non_debt
Changing it because this way the tense is also in sync with the rest of the headings;non_debt
"Kubernetes integration test starting
URL: https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder-K8s/35513/";non_debt
Done;non_debt
@XuQianJin-Stars Could you please solve the conflicts and squash your commits into a single commit?;non_debt
I think after addressing the comments I just added, it's probably good to go.  I still don't love the name, especially since it extends BoolFunction it ought to now end with Function.;non_debt
Can we file JIRA for this? This is a low priority to have any acls user may want to provide.;non_debt
"# [Codecov](https://codecov.io/gh/apache/incubator-airflow/pull/2642?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/incubator-airflow/pull/2642?src=pr&el=continue).";non_debt
cc @Huyuwei @merrymercy one thing I find is that it is a bit tricky to do topi dispatching in the schedule, do you think if it is possible to fold the depthwise schedule and compute directly into the topi function of conv2d?;non_debt
Just discovered that it has been fixed with #12479 already.;non_debt
@zjffdu @Leemoonsoo I have handled the cases in https://github.com/apache/zeppelin/pull/1678;non_debt
"Hi, @morningman I have some question about olap_scan_node, could you plz help me figure it out?
1. what's the relationship between scanner and tablet, one tablet can be scanned by many scanner?they are n:1 or 1:1?
2. what's the relationship between TPaloScanRange and ColumnValueRange, is ColumnValueRange to deal with predicate case and TPaloScanRange can indicate that the range a scanner need to scan from StorageEngine's prefix index?
3. What's the usage of function `extend_scan_key` and the config variable `doris_scanner_row_num`?
I would appreciate your reply, thanks~";non_debt
[AIRFLOW-1236] SlackPostOperator using Slack Incoming WebHook;non_debt
"rdd.id() was returning an Attribute Error in some cases because self._id is not getting set.  So instead of returning the _id attribute, return the value of id() from the jrdd.  Fixes bug SPARK-2334.
Test with: sc.parallelize([1,2,3]).map(lambda x: x+1).id()";non_debt
20587599-10999 review-374455972;non_debt
@kiszk . Could you run for all?;non_debt
"It's an arbitrary name we give to the jQuery v3.4.1 we imported. It's like a namesapce. Note the magic happens in `window.jquery341 = jQuery.noConflict(true)`.
The problem here is that:
1. A frontend can connect to the kernel at any time: code executed by kernel in the past does not have any effect to new frontends.
2. Multiple frontends can connect to the same kernel: each frontend has its own state (browser: HTML and JS), the rendered HTML+JS cannot assume the existence of any global variable, function definition or libraries.
This ensures no matter how many jQuery gets imported at any time, the interactive notebook always checks and uses the single jQuery configured by interactive modules with Datatable plugin initialized.
And the `function($)` signature ensures that any customized script executed will use `$` as the singleton instance  `window.jquery341`. This ensures that code reading `$` as jQuery will always work.
The advantage of doing this isolation is:
1. The JS imported by interactive modules to any frontend does not alter their existing states. Everything in the notebook still works as it was no matter what libraries and global vars have been used.
2. HTML with JS rendered by interactive modules will have determined behavior because it always uses the same libraries.
3. Whether/when a frontend is connected to the kernel doesn't matter now. The visualization HTML contains everything it needs to setup and/or execute scripts.
4. Arbitrary DOM changes doesn't matter now. Even if the user screws the notebook's HTML, the data visualization broadcast from kernels will always be rendered correctly.";non_debt
Requested changes incorporated. Thanks for the review.;non_debt
Merging it into branch-0.6;non_debt
Should we update the comment to indicate this is the initial backoff time now?;non_debt
This PR has been approved for about 4 days with no further feedback so I am going to go ahead and merge. Thank you for this patch @a2l007 ... I know that my team is going to really enjoy this new API response dedicated to time outs.;non_debt
Fix #601: Use long when calling curl_easy_getinfo in tests;non_debt
I believe the ORT replacement will be installed via RPM -- the 5, 10, 20, however many binaries/things there are going to be, should all be included in the same RPM. At least, that's what I understand out of the blueprint review so far.;non_debt
"1. Yes CAST is required because the type of looked up value is Object. While we're saying based on only type on runtime, we might need to consider the type on schema.
2. Implicit cast is not possible because we can't determine the value type on compile time, especially we use ANY to represent its type.";non_debt
"Test PASSed.
Refer to this link for build results (access rights to CI server needed): 
https://amplab.cs.berkeley.edu/jenkins//job/SparkPullRequestBuilder/22897/
Test PASSed.";non_debt
I think adding it to Array for consistency sounds good;non_debt
@snleee Please take a look and see if the interface change is okay for the LinkedIn internal tasks;non_debt
Removed;non_debt
"Could we consolidate actions in common for version 4 and 5?
Like";non_debt
done;non_debt
"Now allows to store the credentials in the keyring
of the OS. Retains backwards compatibility.
Testing Done:
- Tested with a PR
@jlowin";non_debt
This is checking length of encoded data, right? It looks like some Huffman code has 3 byte boundaries. Is this should be 4? ( e.g. `|11111111|11111111|11111110|0010         fffffe2  [28]`);non_debt
@ijuma Thanks! LGTM. Merged to trunk.;non_debt
"# [Codecov](https://codecov.io/gh/apache/airflow/pull/4826?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/airflow/pull/4826?src=pr&el=continue).";non_debt
ONNX models are context agnostic. For running an ONNX model you will import ONNX model to ur framework model format i.e sym and params  for MXNet. Now you use mxnet api to set your context and either retrain this model(i.e ignore the params file ) or use it for inference.;non_debt
QA tests have started for PR 1505. This patch merges cleanly. <br>View progress: https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/16941/consoleFull;non_debt
"both planners have checked whether a sink is an `OverwritableTableSink`. 
I will add some tests about override mode";non_debt
Yea, I got the point. So, the case is when some files have different header.  I was thinking of a case when all files have the same header but the user provided a wrong order of schema (comparing to those all headers).;non_debt
"Meta data
Hash:ed7277689d9a82134d631fe144f0add5ace6380f Status:SUCCESS URL:https://travis-ci.com/flink-ci/flink/builds/136299450 TriggerType:PUSH TriggerID:ed7277689d9a82134d631fe144f0add5ace6380f
Hash:25b3f3db03ffe6f5dbe243e4c1a53479093610bf Status:SUCCESS URL:https://travis-ci.com/flink-ci/flink/builds/136363611 TriggerType:PUSH TriggerID:25b3f3db03ffe6f5dbe243e4c1a53479093610bf
-->
* ed7277689d9a82134d631fe144f0add5ace6380f : SUCCESS [Build](https://travis-ci.com/flink-ci/flink/builds/136299450)
* 25b3f3db03ffe6f5dbe243e4c1a53479093610bf : SUCCESS [Build](https://travis-ci.com/flink-ci/flink/builds/136363611)
  The @flinkbot bot supports the following commands:
 - `@flinkbot run travis` re-run the last Travis build";non_debt
"# [Codecov](https://codecov.io/gh/apache/dubbo/pull/4202?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/dubbo/pull/4202?src=pr&el=continue).";non_debt
Merged build finished.;non_debt
"right.  
The Catch unit tests test only the v4 calculation. Your changes are in the plugin which will be hard to test from the unit-test we have. I guess you would need to create AuTest test which you will have to be created from scratch for this plugin (it will be great but it is up to you).";non_debt
Are the CompileStatic annotations here and in the following test necessary? BugsSTCTest extends StaticTypeCheckingTestCase.;non_debt
You can avoid `case` double-fold here with guards in condition, something like;non_debt
@gatorsmile Sure I'm fine with that. Thanks!;non_debt
