text;classification
accumulo-259 one more merge due to main branch changes before I start next phase of work;non_debt
"Merge pull request #897 from Microsoft-CISL/shravanmn_893
Fixing #893";non_debt
[RELAY] Support concatenate. (#2298);non_debt
Update to add the saga example;non_debt
#IGNITE-53: Move CacheWeakQueryIteratorsHolder to context.;non_debt
Support Windows build target;non_debt
HBASE-14344 Add timeouts to TestHttpServerLifecycle;non_debt
[HUDI-301] fix path error when update a non-partition MOR table;non_debt
Fixed relative position of nbbuild dir;non_debt
Fix race condition in thread startup.;non_debt
bump commons-math from 3.6 to 3.6.1;non_debt
more fun with forrest: these two images were in site/skin/images but not anywhere in src/site .. copying them into the images directory for our theme solved the broken links errors about them;non_debt
ignite-6590 Code review;non_debt
HBASE-1664 Disable 1058 on catalog tables;non_debt
Support for DynamicVariable in trait;non_debt
"CLOUDSTACK-6089: Implement equals() method for ResourceTagResponse
so that the java Set can properly determine if a ResourceTagResponse
is unique. This ensures we don't get duplicate resource tags showing
up any time a UserVmResponse is crafted (which can be quite often
due to the way the responses are crafted).";non_debt
"Merge pull request #927 from jpeach/fix/4785
TS-4785: Stale while revalidate plugin memory corruption.";non_debt
#1864 fix dependency and createCommand date check (#1865);non_debt
For #734, Translate elastic-job-lite-spring's java doc to English (#743);non_debt
sprint-3 Ignite-version;non_debt
fix #701: move to cache package;non_debt
[CXF-5415] Escaping service and operation names when needed;non_debt
fix to load the correct test apps;non_debt
Fixed the CS errors in camel-jms component;non_debt
Fixed pom.xml format error.;non_debt
SPARK-696: sortByKey should use 'ascending' parameter;non_debt
Avro-776. Java: SocketServer holds socket open after close.;non_debt
"[CARBONDATA-1717]Remove spark broadcast for gettting hadoop configurations
This closes #1500";non_debt
Make PackageUtil a proper class encapsulating its ExecutorService;non_debt
[DOC] Fix c++ doc build (#240);non_debt
"NIFI-3294 Adjusting nifi.sh to invoke nifi-env.sh when running as another user such that properties are preserved across environments.
This closes #1405.";non_debt
HADOOP-14371. License error in TestLoadBalancingKMSClientProvider.java. Contributed by hu xiaodong.;non_debt
CAMEL-1663: Fixed bug with using Camel and other annotations in same POJO and RouteBuilder classes.;non_debt
DISPATCH-1396 - Add starting router procedure. This closes #548;non_debt
Added needed support for the wire tap impl.. It can now inject array values into builders.;non_debt
add sbt to jenkins packages;non_debt
"[SPARK-23922][SQL] Add arrays_overlap function
## What changes were proposed in this pull request?
The PR adds the function `arrays_overlap`. This function returns `true` if the input arrays contain a non-null common element if not, it returns `null` if any of the arrays contains a `null` element, `false` otherwise.
## How was this patch tested?
added UTs
Closes #21028 from mgaido91/SPARK-23922.";non_debt
"NIFI-5427: Updating ScrollElasticsearchHttp to use POST, supporting ES6
This closes #2890";non_debt
Add agent to start RMI server for JMX;non_debt
update  api docs;non_debt
IGNITE-8353 Fixed serialVersionUID for AbstractEvictionPolicy;non_debt
"Fixed version conflict on juli dependency by downgrading to version
6.0.29 of juli for jasper and catalina.";non_debt
Setting celery workers optimization to fair;non_debt
"MINIFICPP-819 - OPC Unified Architecture Support
Approved by bakaid on GH
This closes #635";non_debt
Display enhancement in package exports command.;non_debt
CSV strings are quoted, not escaped clarify this;non_debt
"CAMEL-15624 : Refactoring WordpressComponentConfiguration.java to WordpressConfiguration.java (#4356)
This name is conflicted with auto generated camel-wordpress-starter
component configuration. By current document,
WordpressConfiguration should be correct name and it resolves the
conflicting issue on starter module. I updated doc accordingly.";non_debt
Dropping the concat methods. Moving the join(Object[]) to join(Object...). LANG-396. LANG-683. ;non_debt
[FLINK-2278] [ml] Fixes wrong Breeze sparse vector to Flink sparse vector conversion;non_debt
CAMEL-10842: Component JSon schema - JSon values should not always be string types;non_debt
additional tests for GROOVY-3323 and GROOVY-3555;non_debt
"THRIFT-4780: finish the server implementation of multi in python server
- Add default processor handling to python multi";non_debt
HDFS-8803. Move DfsClientConf to hdfs-client. Contributed by Mingliang Liu.;non_debt
for #2084, add intervalUnit_ for mysql g4;non_debt
CAMEL-13113: Remove camel-script component;non_debt
CAMEL-13182 - split camel-aws component in individual components, moved aws-ses;non_debt
days period frequency for locking savings product fixed;non_debt
CAMEL-2347: Added nagios component;non_debt
[CAMEL-13511] Introduce a Model interface to hold definitions related methods;non_debt
CAMEL-6847 Fixed the FacebookConsumer decoding issue with thanks to Dhiraj;non_debt
CAMEL-2915. Patch for camel-xstream applied with thanks to Mark;non_debt
"[sqllab] adding a sql preprocessor for Presto (#1670)
* fixing tests";non_debt
merge;non_debt
"MINIFI-193: Ensure safe UTF encoding
Since the C++ library is agnostic of UTF-8 we can safely write the bytes.
Since we won't be interpreting the UTF-8 code in the core library
we do not need any additional dependencies. Nor do we need to worry about
encoding beyond proper serialization and deserialization of the byte array.
This closes #68.";non_debt
HBASE-4218 Data Block Encoding of KeyValues (aka delta encoding / prefix compression) (Jacek, Mikhail);non_debt
Tests for GROOVY-1128 (still disabled);non_debt
[TE] Changes to make external clients independent of thirdeye database (#1397);non_debt
[FLINK-4460] Add side output ITCase for multiple side out consumers;non_debt
"Merge pull request #947 from Nakomis/process-template-extra-substitutions
Added overload of copyTemplate to allow extra substitutions";non_debt
Regen;non_debt
distinguish between planId / templateId / entityId (with yaml DslComponent referring to the first of these);non_debt
AMBARI-11739: fixed a repo creation issue when repo creation is called from multiple server simultaneously (Selvamohan Neethiraj via jluniya);non_debt
"NIFI-65:
- Adding methods to the AuthorityProvider to authorize the downloading of content.";non_debt
Add partition search tests;non_debt
KYLIN-1048 fix CPU and memory killer in Cuboid.findById();non_debt
Merge pull request #12835 [BEAM-10889] Add a note about BatchElements on GroupIntoBatches pages.;non_debt
Merge branch 'master' into ui-plugins;non_debt
CAMEL-8936: Create a test module for CDI;non_debt
CAMEL-7384 Fixed the NPE of camel-rabbitmq test;non_debt
First pass at SpiderMonkey 68 support;non_debt
LUCENE-4840: fix test to either use DV or not ... don't mix (so that we catch any bugs in SSDVFFs drill down;non_debt
AMBARI-22635: Addendum fix Ambari should create a dummy core-site.xml for Ranger plugins when namenode is not installed.;non_debt
LUCENE-2990: ArrayUtil/CollectionUtil.*Sort() methods now exit early on empty or one-element lists/arrays;non_debt
HBASE-5569 Do not collect deleted KVs when they are still in use by a scanner.;non_debt
how to become root on the vm;non_debt
ACCUMULO-3927 Commit checkstyle changes;non_debt
HDDS-976: Parse network topology from yaml file. Contributed by Junjie Chen. (#661);non_debt
"Merge pull request #1111 from jbonofre/KARAF-6682
[KARAF-6682] Upgrade to felix http.jetty 4.0.18";non_debt
AMBARI-23677. Update spring-data-commons dependency.;non_debt
Clean up as part of intergation into Jena trunk.;non_debt
"moved AbstractController to webapp project, and SSL_CONFIG exposed at that level for protocol detection.
protocol now correctly inferred (was sometimes null).";non_debt
update jetty 9.2.x version;non_debt
Updated the download page anchor;non_debt
"Merge pull request #870 from peng-yongsheng/fixed/855
Fixed/855";non_debt
List init optimize for pure data.;non_debt
"Attach names for all producers/readers in worker service (#7165)
* Attach names for all producers/readers in worker service
* Fix tests";non_debt
2.1.x to 2.2.2 DB ugrade - convert account specific vlans to account specific networks;non_debt
use a more same logging configuration for testing;non_debt
Reuse previous localVidMap if available;non_debt
"Add support targetCompactionSizeBytes for compactionTask (#6203)
* Add support targetCompactionSizeBytes for compactionTask
* fix test
* fix a bug in keepSegmentGranularity
* fix wrong noinspection comment
* address comments";non_debt
"Limit the ByteArray wrapper logic inside segment creator (#3439)
Limit the ByteArray wrapper logic in segment creator only. Use byte[] in all other places.
With this change, ByteArray become transparent outside of segment creation.
Unify the behavior of dictionary:
- Use byte[] for value insertion, value fetch
- Use ByteArray for min-value, max-value, sorted-values";non_debt
"add string de/serialize code to TokenFactory for ApplicationState's benefit.
patch by jbellis tested by nk11 and MarkR42 for CASSANDRA-114";non_debt
"Merge pull request #1154 from ustcweizhou/fix-ui-delete-sshkey-projects
[UI] fix bug: Cannot delete SSH keypairs in projectsBefore change:
error message: ProjectId and account/domainId can't be specified together
After change:
SSH keypairs can be removed
* pr/1154:
  [UI] fix bug: Cannot delete SSH keypairs in projects";non_debt
think bootstrap / restore works now;non_debt
Merge branch 'STORM-3181' of https://github.com/govind-menon/storm into STORM-3181-merge;non_debt
New/updated models to comply with JSON/API requirements;non_debt
"[SPARK-24412][SQL] Adding docs about automagical type casting in `isin` and `isInCollection` APIs
## What changes were proposed in this pull request?
Update documentation for `isInCollection` API to clealy explain the ""auto-casting"" of elements if their types are different.
## How was this patch tested?
No-Op
Closes #21519 from trvskn/sql-doc-update.";non_debt
Port 190-json-stream-parse.t etap test suite to eunit;non_debt
Consider Elasticsearch as one word in camelCase.;non_debt
Merge branch 'master' into fix/segment-cost;non_debt
SCB-85 clean bmi example because metrics sample had added in samples;non_debt
Check delete state of topic;non_debt
Adding a convenience method which passes attributes in a Map;non_debt
CAMEL-316.  Implement the Fault api as Out. Added a fault flag to Message.;non_debt
GUACAMOLE-38: Implement extension-specific REST endpoint and utilities for parsing connection.;non_debt
AMBARI-16951. Upgrade Log Search SOLR version to 5.5.1 (oleewere);non_debt
# sp-22: correct previous optimized classnames;non_debt
Karaf is released!;non_debt
added lic header;non_debt
[AIRFLOW-5702] Fix common docstring issues (#6372);non_debt
[hotfix][docs] Fix the description of bounded-of-orderness in docs/dev/event_timestamps_watermarks.md;non_debt
Made the opening of databases asynchronous, so that requests to open databases that are already in the open database cache do not have to wait on the file system.;non_debt
AMBARI-6322. Choosing bulk hosts to decommission on 120 node cluster on the hosts page just spins. (srimanth);non_debt
"THRIFT-1608 Allow servlet to be supplied TProcessor and TProtocolFactory after the init() method has finished
Patch: Kiril Raychev";non_debt
ARTEMIS-2123 Paging not stopped if there are no messages on one subscription;non_debt
Try to fix an issue into maven upload asc files for sources and javadoc;non_debt
[CXF-5075]: fixed and enabled trusted test for Java 6;non_debt
Adding dependent-scaling.drl test;non_debt
GEODE-4011: Ensure that LogWrapper is closed correctly in GfshCommandRule (#1100);non_debt
traffic_stats progress;non_debt
Returning nic details in KubernetesClusterResponse (#4456);non_debt
"Instance health web ui working with collector success.
#365";non_debt
"Automatic version increment by mint from 0.0.49 to 0.0.50.
VERSION_BUMP";non_debt
fixing a build issue;non_debt
"Configurable redirect of mem3 push jobs
In order to faciliate smoother node replacements, mem3 can be
configured to redirect push jobs intended for one node (the failed
one) to another (its replacement). e.g,
[mem3.redirects]
dbcore@db1.foo.cloudant.com = dbcore@db2.foo.cloudant.com
BugzID: 14348";non_debt
chore: upgrade to npm 7 and superset-ui 0.17.9 (#13100);non_debt
Fix NPE try 2;non_debt
"Merge pull request #462 from mateiz/conf-file-fix
Remove Typesafe Config usage and conf files to fix nested property names
With Typesafe Config we had the subtle problem of no longer allowing
nested property names, which are used for a few of our properties:
http://apache-spark-developers-list.1001551.n3.nabble.com/Config-properties-broken-in-master-td208.html
This PR is for branch 0.9 but should be added into master too.";non_debt
BIGTOP-1843: Upgrade Sqoop to 1.4.6;non_debt
[hotfix] [webfrontend] Rebuild;non_debt
TS-1617: Build cacheurl when experimental plugins are enabled;non_debt
Replace with current versions of GUI layout;non_debt
Bug 57500 - Introduce retry behavior for remote testing / fix test;non_debt
"Merge pull request #1144 from tweise/dt-dev
WebSocket option for AdsDimensionDemoWithHDS.";non_debt
Adding a new HDFS hook using a Python 3 compatible package;non_debt
Merge remote-tracking branch 'origin/ignite-459' into ignite-459;non_debt
Fixed CS errors;non_debt
remove $ tags;non_debt
Upgrade Commons Net to version 3.7.2;non_debt
Document interface;non_debt
CAMEL-14910: modify gulpfile to generate bundling of components nav;non_debt
HDFS-12235. Ozone: DeleteKey-3: KSM SCM block deletion message and ACK interactions. Contributed by Weiwei Yang and Yuanbo Liu.;non_debt
"[cli] permission cleanup on 'superset init' (#4241)
FAB sometimes creates NULL/None permissions in the database,
presumably a race condition when multiple gunicorn workers start at the
same time, and those create issues raising ""AttributeError: 'NoneType'
object has no attribute 'name'""
* Linting";non_debt
This closes https://github.com/apache/beam-site/pull/316;non_debt
added inflate and deflate methods to Holder.;non_debt
Fix for https://issues.apache.org/jira/browse/AMQ-4237;non_debt
Fix jetty test failure with j7;non_debt
"[GRIFFIN-182] fix blank flash when routing from job to metric detail
GRIFFIN-182 - fix blank flash when routing from job to metric detail
ISSUE:
currently, when navigating from ```health``` jobs to job-metric detail page, code will reload the health page to make navigation working causing blank flash
Closes #354 from icesmartjuan/fixblankflashwhenroutefromjobtometric.";non_debt
Merge branch 'STORM-1934' of https://github.com/HeartSaVioR/storm;non_debt
"Add retry mechanism to OTC for non-droppable_verbs
patch by jasobrown reviewed by jbellis for CASSANDRA-5393";non_debt
Bring grape in line with 1.6 code;non_debt
fix ecx url;non_debt
add ut;non_debt
HDFS-3341, HADOOP-8340. SNAPSHOT build versions should compare as less than their eventual release. Contributed by Todd Lipcon.;non_debt
SOLR-5473 one state.json per collection , SOLR-5474 support for one json per collection;non_debt
"Merge branch 'cassandra-2.0' into trunk
Conflicts:
	lib/licenses/slf4j-log4j12-1.7.2.txt";non_debt
HIVE-7804 : [CBO] Support semi-joins (Harish Butani);non_debt
Fix URL in javadoc;non_debt
AMQ-6147: update to proton-j 0.12.0 release;non_debt
Etag's require quotes;non_debt
"Fix ColumnCounter::countAll behaviour for reverse queries
Patch by Sam Tunnicliffe reviewed by Jason Brown for CASSANDRA-13222";non_debt
"GEODE-6142: Check JDBC mapping before destroy region (#2950)
gfsh destroy region will now fail if the region has a jdbc-mapping that
has not yet been destroyed.";non_debt
LUCENE-3531: Revert adding Reader/CoreClosedListeners in CachingWrapperFilter;non_debt
Removed link to md5 checksums in download page (#1894);non_debt
HIVE-1509. Monitor the working set of the number of files;non_debt
Add test case for new hasVariable() method on Binding.;non_debt
"ARROW-9303: [R] Linux static build should always bundle dependencies
Also adds a cmake minimum version check, per the original user report.
Closes #7699 from nealrichardson/fix-dependency-source";non_debt
ACCUMULO-580 roll back changes to add batch size to batch scanner;non_debt
properly translate nested composite transforms;non_debt
HDDS-2023. Fix rat check failures in trunk (addendum);non_debt
SOLR-10302: Solr's zkcli scripts now able to find the metrics libraries;non_debt
[RUNTIME][CRT] support DLTensor whose ndim == 0 (#5344);non_debt
DynamicShardingValueHelper = > HintShardingValueHelper;non_debt
"Add support for extra links coming from the providers (#12472)
Closes: #11431";non_debt
"PINOT-1308: Replacing internal data in test.
RB=490954
R=kgopalak,xiafu,jfim,dpatel
A=jfim";non_debt
LUCENE-4337: Add missing EOL-Style;non_debt
"Merge pull request #824 from afs/small-items
JENA-1990, JENA-1991, JENA-1992, JENA-1993: Upgrade and small items";non_debt
"bug 13356
Clear out sticky/custom data drop-down after adding policy
status 13356: resolved fixed";non_debt
refactor ShardingDataSource  implements AutoCloseable;non_debt
AMBARI-8148. Rolling Upgrade Bootstrap - Create new tables and populate during the installation of a new cluster (alejandro);non_debt
DISPATCH-640 - Additional tests to make sure both containerId and connection cannot be specified in linkRoute/autoLink;non_debt
"Refactor code
Refactored some code about new java version.
--Make a contribution to groovy every day.";non_debt
"Grant read ""line.separator"" property permission to ScriptTest.groovy";non_debt
